,ENOSTANOVANJSKE_STAVBE,VECSTANOVANJSKE_STAVBE,STANOVANJSKE_STAVBE_ZA_POSEBNE_NAMEN,JAVNA_UPRAVA,TURIZEM_NASTANITVENI_OBJEKTI,STAVBE_ZA_KULTURO,OBREDNE_STAVBE,STAVBE_ZA_IZOBRAZEVANJE,STAVBE_ZA_ZDRAVSTVENO_OSKRBO,SPORTNA_DVORANA,POKRIT_PROSTOR_ZA_SPORT_IN_PRIREDITVE,POKRIT_PLAVALNI_BAZEN,INDUSTRIJA,POSLOVNO_STORITVENI_SEKTOR,BENCINSKI_SERVIS,PROMETNA_INFRASTRUKTURA,GASILSKI_DOM
ELKO,5321214,1015542,373010,11513,161803,192126,253922,0,0,0,0,0,415994,756158,37263,512761,35470
ZP,487211,185242,526440,485732,126044,21177,0,130882,0,53171,0,0,226054,671632,0,1070299,0
UNP,151192,28282,0,0,259440,0,0,0,0,31582,0,0,0,2215605,0,0,0
BIOMASS,1016985,101086,0,0,15134,0,0,0,0,0,0,0,0,0,0,0,0
PELETI,1044834,299797,15104,0,0,0,30640,0,0,0,0,0,18301,32827,0,0,0
SEKANCI,94840,47202,0,0,0,0,0,0,0,0,0,0,0,35048,0,0,0
POLENA,388658,49131,0,0,0,0,0,0,0,0,0,0,0,43145,0,0,0
NARAVNI_LES,12014332,1000757,13360,0,155190,0,0,0,0,7524,0,0,206449,91171,0,0,19168
HEAT_PUMP_AIR,1794900,289299,0,0,0,0,0,0,0,0,0,0,30516,15384,0,0,0
HEAT_PUMP_GROUND,57392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOLAR_THERMAL,493312,39309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GEOTHERMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DISTRICT_HEAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA_FUEL,7105107,639725,741474,19647,496315,88825,462367,110465,60968,19095,0,0,6071433,1886539,16676,887775,27422
